"id","tti","cb_index","it","total_its","ext1_avg","ext2_avg","ext1_avg_abs","ext2_avg_abs","cb_size","tbs","mcs","snr","dec_time","avg_it_block","crc","filename"
21896,2316,1,2,10,-695570,-609119,882608,748433,4352,12960,15,8.499906,696,10,0,"ags_data_2"
21896,2316,1,3,10,-545321,-736761,722025,934893,4352,12960,15,8.499906,696,10,0,"ags_data_2"
21896,2316,1,4,10,-747098,-736761,950532,934893,4352,12960,15,8.499906,696,10,0,"ags_data_2"
21896,2316,1,5,10,-555658,-728927,733168,943159,4352,12960,15,8.499906,696,10,0,"ags_data_2"
21896,2316,1,6,10,-663224,-728927,872958,943159,4352,12960,15,8.499906,696,10,0,"ags_data_2"
21896,2316,1,7,10,-489955,-582605,673677,815809,4352,12960,15,8.499906,696,10,0,"ags_data_2"
21896,2316,1,8,10,-533391,-582605,768379,815809,4352,12960,15,8.499906,696,10,0,"ags_data_2"
21896,2316,1,9,10,-440741,-528674,631473,750090,4352,12960,15,8.499906,696,10,0,"ags_data_2"
21901,2319,0,0,10,-455986,-542145,543398,789989,4352,12960,15,8.68938,679,10,0,"ags_data_2"
21901,2319,0,1,10,-455986,-617815,543398,786321,4352,12960,15,8.68938,679,10,0,"ags_data_2"
21901,2319,0,2,10,-704146,-617815,899598,786321,4352,12960,15,8.68938,679,10,0,"ags_data_2"
21901,2319,0,3,10,-542317,-668454,721893,887340,4352,12960,15,8.68938,679,10,0,"ags_data_2"
21901,2319,0,4,10,-591180,-668454,847810,887340,4352,12960,15,8.68938,679,10,0,"ags_data_2"
21901,2319,0,5,10,-465043,-524865,675063,802545,4352,12960,15,8.68938,679,10,0,"ags_data_2"
21901,2319,0,6,10,-504406,-524865,775078,802545,4352,12960,15,8.68938,679,10,0,"ags_data_2"
21901,2319,0,7,10,-444584,-531147,644924,792501,4352,12960,15,8.68938,679,10,0,"ags_data_2"
21901,2319,0,8,10,-533004,-531147,769546,792501,4352,12960,15,8.68938,679,10,0,"ags_data_2"
21901,2319,0,9,10,-446441,-522386,637091,758758,4352,12960,15,8.68938,679,10,0,"ags_data_2"
21902,2319,1,0,10,-420785,-522386,535331,758758,4352,12960,15,8.68938,679,10,0,"ags_data_2"
21902,2319,1,1,10,-420785,-500024,535331,696572,4352,12960,15,8.68938,679,10,0,"ags_data_2"
21902,2319,1,2,10,-540750,-500024,778802,696572,4352,12960,15,8.68938,679,10,0,"ags_data_2"
21902,2319,1,3,10,-461511,-573108,669313,841362,4352,12960,15,8.68938,679,10,0,"ags_data_2"
21902,2319,1,4,10,-555144,-573108,838486,841362,4352,12960,15,8.68938,679,10,0,"ags_data_2"
21902,2319,1,5,10,-443547,-517051,672495,841593,4352,12960,15,8.68938,679,10,0,"ags_data_2"
21902,2319,1,6,10,-495375,-517051,817277,841593,4352,12960,15,8.68938,679,10,0,"ags_data_2"
21902,2319,1,7,10,-421871,-467894,661451,767854,4352,12960,15,8.68938,679,10,0,"ags_data_2"
21902,2319,1,8,10,-437024,-467894,750470,767854,4352,12960,15,8.68938,679,10,0,"ags_data_2"
21902,2319,1,9,10,-391001,-448846,630865,766922,4352,12960,15,8.68938,679,10,0,"ags_data_2"
21905,2322,0,0,10,-839765,-543730,1009115,774486,4352,12960,15,8.515449,853,10,0,"ags_data_2"
21905,2322,0,1,10,-839765,-1211308,1009115,1412838,4352,12960,15,8.515449,853,10,0,"ags_data_2"
21905,2322,0,2,10,-1467731,-1211308,1679733,1412838,4352,12960,15,8.515449,853,10,0,"ags_data_2"
21905,2322,0,3,10,-1096188,-1638966,1286234,1882536,4352,12960,15,8.515449,853,10,0,"ags_data_2"
21905,2322,0,4,10,-1777830,-1638966,2048868,1882536,4352,12960,15,8.515449,853,10,0,"ags_data_2"
21905,2322,0,5,10,-1235052,-1938641,1453082,2218447,4352,12960,15,8.515449,853,10,0,"ags_data_2"
21905,2322,0,6,10,-2117395,-1938641,2404623,2218447,4352,12960,15,8.515449,853,10,0,"ags_data_2"
